# SOURMASH-MANIFEST-VERSION: 1.0
internal_location,md5,md5short,ksize,moltype,num,scaled,n_hashes,with_abundance,name,filename
signatures/f38801f1af36de63042f5df99e3a2e6f.sig.gz,f38801f1af36de63042f5df99e3a2e6f,f38801f1,21,DNA,0,1000,27614,True,"GCA_022530875.1 Naegleria lovaniensis, ASM2253087v1",/dev/fd/63
signatures/0e3634d8c52181a6720c88eab120013a.sig.gz,0e3634d8c52181a6720c88eab120013a,0e3634d8,21,DNA,0,1000,30120,True,"GCA_003730215.1 Leishmania donovani strain=FDAARGOS_361, ASM373021v1",/dev/fd/63
signatures/4c6ced85ebd567db4e5f170c4b9ab4ab.sig.gz,4c6ced85ebd567db4e5f170c4b9ab4ab,4c6ced85,21,DNA,0,1000,32853,True,"GCA_003671325.1 Trypanosomatidae sp. JR-2017a strain=LVH60, LVH60",/dev/fd/63
signatures/3b8ec652f7dbe86b28ddd23c8f9a938d.sig.gz,3b8ec652f7dbe86b28ddd23c8f9a938d,3b8ec652,21,DNA,0,1000,28207,True,"GCA_001293395.1 Leptomonas pyrrhocoris, ASM129339v1",/dev/fd/63
signatures/a5a0b4ca1bcc7edd9f664ba1a4cf1ee5.sig.gz,a5a0b4ca1bcc7edd9f664ba1a4cf1ee5,a5a0b4ca,21,DNA,0,1000,22794,True,"GCA_019425475.1 Trypanosoma vivax strain=Lins, ASM1942547v1",/dev/fd/63
signatures/6b197cd046de1288c1809c0a9c50f0e7.sig.gz,6b197cd046de1288c1809c0a9c50f0e7,6b197cd0,21,DNA,0,1000,20351,True,"GCA_000210295.1 Trypanosoma brucei gambiense DAL972 strain=Dal 972 clone 1 (MHOM/CI/86/DAL972), ASM21029v1",/dev/fd/63
signatures/3efb2ca8f77d945cc969746bc2292b99.sig.gz,3efb2ca8f77d945cc969746bc2292b99,3efb2ca8,21,DNA,0,1000,379127,True,"GCA_012845835.1 Undaria pinnatifida, ASM1284583v1",/dev/fd/63
signatures/c68e3fa29f57c566006dd59e068a8c90.sig.gz,c68e3fa29f57c566006dd59e068a8c90,c68e3fa2,21,DNA,0,1000,63087,True,"GCA_009733065.1 Phytophthora fragariae strain=NOV-71, ASM973306v1",/dev/fd/63
signatures/d618f799e24376cd75a36e26f6aa8077.sig.gz,d618f799e24376cd75a36e26f6aa8077,d618f799,21,DNA,0,1000,26631,True,"GCA_000499105.1 Naegleria fowleri strain=ATCC 30863, Naegleria fowleri 1.0",/dev/fd/63
signatures/7ff65d1f322c29b0ffa22cac4360ba92.sig.gz,7ff65d1f322c29b0ffa22cac4360ba92,7ff65d1f,21,DNA,0,1000,55799,True,"GCA_900092245.1 Acytostelium leptosomum, ASM90009224v1",/dev/fd/63
signatures/c28b4470f92292a04ca8b4651a2af01d.sig.gz,c28b4470f92292a04ca8b4651a2af01d,c28b4470,21,DNA,0,1000,22416,True,"GCA_009726225.1 Plasmodiophora brassicae strain=P.b-42, ASM972622v1",/dev/fd/63
signatures/5545f388b99590fca92f34145a44cda4.sig.gz,5545f388b99590fca92f34145a44cda4,5545f388,21,DNA,0,1000,8798,True,"GCA_018901905.1 Babesia bigemina, ASM1890190v1",/dev/fd/63
signatures/1f81f955bea6054721023a353851682d.sig.gz,1f81f955bea6054721023a353851682d,1f81f955,21,DNA,0,1000,31210,True,"GCA_017918215.1 Leishmania sp. Ghana 2012 LV757 strain=GH5, LU_Lgha_1.0",/dev/fd/63
signatures/e33eafc21fd5e2392cbfd2f63173a238.sig.gz,e33eafc21fd5e2392cbfd2f63173a238,e33eafc2,21,DNA,0,1000,19325,True,"GCA_900617885.1 Plasmodium yoelii strain=3AE, Pyy3AE-2",/dev/fd/63
signatures/5e2b3f53e970b16ddc9cb338615a9bf3.sig.gz,5e2b3f53e970b16ddc9cb338615a9bf3,5e2b3f53,21,DNA,0,1000,41121,True,"GCA_002019455.1 Cyclospora cayetanensis strain=CDC:HCTX69:14, ASM201945v1",/dev/fd/63
signatures/85fd39a31430c949850e7eb6231f0815.sig.gz,85fd39a31430c949850e7eb6231f0815,85fd39a3,21,DNA,0,1000,1360,True,"GCA_000211355.2 Astrammina rara, ASM21135v2",/dev/fd/63
signatures/dacb4cb110bbea2efaf55e8ce66809c0.sig.gz,dacb4cb110bbea2efaf55e8ce66809c0,dacb4cb1,21,DNA,0,1000,22579,True,"GCA_009726625.1 Plasmodiophora brassicae strain=P.b-23, ASM972662v1",/dev/fd/63
signatures/67058694f487b7da93a8ffdf8e511334.sig.gz,67058694f487b7da93a8ffdf8e511334,67058694,21,DNA,0,1000,74651,True,"GCA_000315625.1 Guillardia theta CCMP2712 strain=CCMP2712, Guith1",/dev/fd/63
